Movie/Content Name,S.No.,Movie /Content (Original Language),Language,Type of Content,Availability,Col B&W,Year  30,No. of Episodes,Length,Resolution,CC Grade,Content Owner 1,Content Owner 2,Content Owner 3,Commence Date,Expiry Date,Genre   101,Director 99,Star Cast  18,Music Director  229,Lyricist  380,Singer   437,Agreement Status,Format,Audio bitrate,Audio codec,Video bitrate,Video codec,Path,-,Size_MB,Framerate_fps
143 (2017),,(143 - TAMIL),Hindi Dubed,Movie,Yes,COL,2017.0,,01:49:25,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,"Musical, Romance",Rishi Gangadhar,Rishi Gangadhar Priyanka Sharma Nakshatra Reddy Vijayakumar K. R. Vijaya Sudha,Vijay Bhaskar Grandhala,"Snehan, Kabilan Vairamuthu","Anirudh Ravichander, Shreya Ghoshal, Vijay Prakash",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\143 (2017)\143 (2017).mp4,,1285.2,25.0
16 December (2002),,,,,,,,,02:21:55,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,579 kbps,AVC,U:\MOVIE MASTER\16 December (2002)\16 December (2002).mp4,,721.7,25.0
18.11 A Code Of Secrecy (2014),,,,,,,,,02:10:55,1920*1080,,,,,,,,,,,,,,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\18.11 (A Code Of Secrecy...!) (2014)\18.11 (A Code Of Secrecy...!) (2014).ts,,6121.61,
1811 A Code Of Secrecy  (2014),,,Hindi,Movie,Yes,COL,2014.0,,02:10:55,1920*1080,,Eros,,,2026-04-01,2027-03-31,"Action, Thriller, Suspense",Md. Mohibul Haque,"Rehal Khan, Gulshan Grover, Prem Chopra, Mukesh Tiwari, Asrani, Nipon Goswami, Bridgette Irani",Jaan Nissar Lone,"Tanveer Ghazi, Sahil Fatehpuri, Poornima Shrestha","Kunal Ganjawala, Shaan, Suzanne D'Mello, Shail Hada, Kamal Khan, Jaan Nissar Lone, Rani Hazarika, Nadeem Al Balushi",Yes,,,,,,,,,
1920   (2008),,,,,,,,,02:18:15,720*576,,,,,,,,,,,,,,Matroska,224 kbps,AC3+,1016 kbps,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\1920 (2008)\1920   (2008).mkv,,1251.66,25.0
1947 Earth (1998),,,,,,,,,01:26:55,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2086 kbps,AVC,U:\MOVIE MASTER\1947 Earth (1998)\1947 Earth (1998).mp4,,1380.47,25.0
2 Chehare (2015),,,,,,,,,02:07:45,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,9578 kbps,AVC,U:\MOVIE MASTER\2 Chehare (2015)\2 Chehare (2015).mp4,,9045.34,25.0
2035 Steel Superstorm,,,Hindi,Eng.to Hindi,Yes,COL,2013.0,,01:32:20,3840*2160,,Eagle,,,2026-04-01,2027-03-31,Mystery & Thriller,Christopher James Miller,"Kyle Morris, Jamie Katonic, Sean Stearley, Robert Diaz Leroy, Mark McGarrey, Steve Dorfman","Christopher James Miller, Bryan Alexander",,,Yes,MPEG-4,128 kbps,AAC LC,4434 kbps,av01,U:\MOVIE MASTER\2035 Steel Superstorm\2035 Steel Superstorm.mp4,,3016.44,23.976
23rd March 1931 - Shaheed (2002),,,,,,,,,03:07:32,1920*816,,,,,,,,,,,,,,Matroska,224 kbps,AC3,3500 kbps,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\23rd March 1931 - Shaheed (2002)\23rd March 1931 - Shaheed (2002).mkv,,4996.45,25.0
26Th July At Barista (2008),,,Hindi,Movie,Yes,COL,2008.0,,01:19:26,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,Drama,Mohan Sharma,"Kabir Sawhney, Simran Vaid, Sumeet Chawla, Amita Nagia, Rohini Hattangadi, Shashi",Bryan Alexander,Sandarbh,"Rahul Seth,",Yes,MPEG-4,128 kbps,AAC LC,473 kbps,AVC,U:\MOVIE MASTER\26th July At Barista (2008)\26th July At Barista (2008).mp4,,343.4,25.0
